msm.protein.id,msm.locus.tag,msm.new.locus,msm.gene
WP_011726602.1,MSMEG_0001,LJ00_00005,dnaN
WP_003891330.1,MSMEG_0002,LJ00_00010,gnd
WP_011726603.1,MSMEG_0003,NA,NA
WP_011726604.1,MSMEG_0004,NA,NA
WP_003891333.1,MSMEG_0005,LJ00_00025,gyrB
WP_003891334.1,MSMEG_0006,LJ00_00030,gyrA
WP_011726605.1,MSMEG_0007,NA,NA
WP_011726607.1,MSMEG_0011,NA,NA
WP_003891337.1,MSMEG_0012,NA,NA
WP_003891338.1,MSMEG_0013,NA,NA
WP_029104465.1,MSMEG_0014,NA,NA
WP_011726608.1,MSMEG_0015,NA,NA
WP_014876641.1,MSMEG_0016,NA,NA
WP_003891342.1,MSMEG_0017,NA,NA
WP_011726610.1,MSMEG_0018,NA,NA
WP_011726611.1,MSMEG_0019,NA,NA
WP_011726612.1,MSMEG_0020,NA,NA
WP_011726613.1,MSMEG_0021,NA,NA
WP_011726614.1,MSMEG_0022,NA,NA
WP_011726615.1,MSMEG_0023,LJ00_00115,cwsA
WP_003891350.1,MSMEG_0024,NA,NA
WP_011726616.1,MSMEG_0025,NA,NA
WP_003891352.1,MSMEG_0026,LJ00_00130,crgA
WP_003891353.1,MSMEG_0027,NA,NA
WP_003891355.1,MSMEG_0028,LJ00_00145,pknB
WP_003891354.1,MSMEG_0029,NA,NA
WP_011726617.1,MSMEG_0030,NA,NA
WP_003891359.1,MSMEG_0031,LJ00_00155,pbpA
WP_011726618.1,MSMEG_0032,NA,NA
WP_011726619.1,MSMEG_0033,NA,NA
WP_011726620.1,MSMEG_0034,NA,NA
WP_014876644.1,MSMEG_0035,NA,NA
WP_011726623.1,MSMEG_0039,NA,NA
WP_011726624.1,MSMEG_0040,NA,NA
WP_011726625.1,MSMEG_0041,NA,NA
WP_011726626.1,MSMEG_0042,NA,NA
WP_029104467.1,MSMEG_0043,LJ00_00215,ygiD
WP_011726628.1,MSMEG_0044,NA,NA
WP_011726629.1,MSMEG_0045,NA,NA
WP_003891374.1,MSMEG_0046,NA,NA
WP_011726630.1,MSMEG_0047,NA,NA
WP_011726631.1,MSMEG_0048,NA,NA
WP_011726632.1,MSMEG_0049,NA,NA
WP_003891378.1,MSMEG_0050,NA,NA
WP_011726633.1,MSMEG_0051,NA,NA
WP_011726634.1,MSMEG_0052,NA,NA
WP_011726635.1,MSMEG_0053,NA,NA
WP_011726636.1,MSMEG_0055,NA,NA
WP_003891383.1,MSMEG_0056,NA,NA
WP_003891384.1,MSMEG_0057,NA,NA
WP_011726637.1,MSMEG_0058,NA,NA
WP_003891386.1,MSMEG_0059,LJ00_00295,eccA1
WP_011726638.1,MSMEG_0060,LJ00_00300,eccB
WP_003891388.1,MSMEG_0061,LJ00_00305,eccCa
WP_011726639.1,MSMEG_0062,LJ00_00310,eccCb
WP_003891390.1,MSMEG_0063,NA,NA
WP_036463052.1,MSMEG_0064,NA,NA
WP_003891393.1,MSMEG_0065,NA,NA
WP_003891394.1,MSMEG_0066,NA,NA
WP_011726641.1,MSMEG_0067,NA,NA
WP_011726642.1,MSMEG_0068,LJ00_00340,eccD
WP_162139516.1,MSMEG_0069,NA,NA
WP_011726647.1,MSMEG_0075,NA,NA
WP_011726648.1,MSMEG_0076,LJ00_00380,espB
WP_011726649.1,MSMEG_0077,NA,NA
WP_014876661.1,MSMEG_0078,NA,NA
WP_011726651.1,MSMEG_0079,NA,NA
WP_011726652.1,MSMEG_0080,NA,NA
WP_003891413.1,MSMEG_0081,NA,NA
WP_011726653.1,MSMEG_0082,LJ00_00415,eccE
WP_011726654.1,MSMEG_0083,LJ00_00420,mycP1
WP_011726655.1,MSMEG_0084,NA,NA
WP_011726656.1,MSMEG_0085,NA,NA
WP_003891418.1,MSMEG_0086,NA,NA
WP_003891419.1,MSMEG_0087,NA,NA
WP_029104530.1,MSMEG_0088,NA,NA
WP_011726658.1,MSMEG_0089,NA,NA
WP_011726659.1,MSMEG_0090,NA,NA
WP_014876664.1,MSMEG_0091,NA,NA
WP_011726661.1,MSMEG_0092,NA,NA
WP_003891425.1,MSMEG_0093,NA,NA
WP_011726663.1,MSMEG_0094,NA,NA
WP_011726662.1,MSMEG_0095,NA,NA
WP_014876665.1,MSMEG_0096,NA,NA
WP_011726665.1,MSMEG_0097,NA,NA
WP_175048406.1,MSMEG_0098,NA,NA
WP_011726666.1,MSMEG_0099,NA,NA
WP_011726668.1,MSMEG_0100,NA,NA
WP_011726667.1,MSMEG_0101,NA,NA
WP_014876667.1,MSMEG_0102,NA,NA
WP_011726670.1,MSMEG_0103,NA,NA
WP_003891436.1,MSMEG_0104,NA,NA
WP_011726671.1,MSMEG_0105,NA,NA
WP_003891438.1,MSMEG_0106,NA,NA
WP_011726672.1,MSMEG_0107,NA,NA
WP_003891441.1,MSMEG_0108,NA,NA
WP_003891442.1,MSMEG_0109,LJ00_00550,pntB
WP_011726673.1,MSMEG_0110,NA,NA
WP_003891444.1,MSMEG_0111,NA,NA
WP_011726675.1,MSMEG_0113,NA,NA
WP_011726676.1,MSMEG_0114,NA,NA
WP_003891449.1,MSMEG_0115,NA,NA
WP_003891448.1,MSMEG_0116,NA,NA
WP_011726677.1,MSMEG_0117,NA,NA
WP_003891451.1,MSMEG_0118,NA,NA
WP_011726678.1,MSMEG_0119,NA,NA
WP_003891452.1,MSMEG_0120,NA,NA
WP_011726679.1,MSMEG_0121,NA,NA
WP_011726680.1,MSMEG_0122,NA,NA
WP_228025533.1,MSMEG_0123,NA,NA
WP_011726683.1,MSMEG_0124,NA,NA
WP_011726682.1,MSMEG_0125,NA,NA
WP_011726684.1,MSMEG_0126,NA,NA
WP_011726685.1,MSMEG_0127,NA,NA
WP_011726686.1,MSMEG_0128,NA,NA
WP_014876670.1,MSMEG_0129,NA,NA
WP_011726687.1,MSMEG_0130,NA,NA
WP_234306348.1,MSMEG_0131,LJ00_00660,fadD5
WP_011726689.1,MSMEG_0132,NA,NA
WP_003891465.1,MSMEG_0133,NA,NA
WP_011726690.1,MSMEG_0134,NA,NA
WP_011726691.1,MSMEG_0135,NA,NA
WP_011726692.1,MSMEG_0136,NA,NA
WP_011726693.1,MSMEG_0137,NA,NA
WP_003891470.1,MSMEG_0138,NA,NA
WP_011726695.1,MSMEG_0139,NA,NA
WP_003891472.1,MSMEG_0140,NA,NA
WP_011726696.1,MSMEG_0141,NA,NA
WP_011726697.1,MSMEG_0142,NA,NA
WP_011726698.1,MSMEG_0143,NA,NA
WP_181824998.1,MSMEG_0144,NA,NA
WP_003891476.1,MSMEG_0145,NA,NA
WP_011726700.1,MSMEG_0146,NA,NA
